evaluation_id,intern_id,project_id,score,feedback,evaluator
1,683,117,10.0,Dream material south agree wait.,Dr. Rao
2,412,168,5.8,Even well approach car under start he.,Mentor
3,412,110,7.1,Term report tonight money Mr show we.,Team Lead
4,381,89,8.1,Test world despite.,Mentor
5,458,187,7.7,Look read result.,Ms. Kaur
6,415,171,6.8,Goal him since Republican because law.,Supervisor
7,319,147,6.4,Local policy involve plant serve.,Mentor
8,201,92,9.9,We over president inside per kitchen he.,Team Lead
9,381,141,9.5,With including product order machine always.,Team Lead
10,120,45,8.5,Value your once give forget sort data.,Dr. Rao
11,554,71,7.7,Participant once huge tree word apply.,Team Lead
12,558,109,9.5,Reduce sure fund mission both star those past.,Supervisor
13,462,72,5.3,Know west base skill exactly challenge.,Mentor
14,89,38,6.0,Husband network but nothing later.,Team Lead
15,482,162,6.3,Create build expect imagine major.,Mentor
16,688,190,7.8,Smile laugh amount tree wind throughout.,Supervisor
17,138,140,8.2,Name author analysis call professional various.,Supervisor
18,175,2,6.4,Maintain before focus west.,Mentor
19,30,25,8.4,Such wish environment sing away likely.,Ms. Kaur
20,478,179,6.7,Quite occur so certain black with.,Supervisor
21,697,124,5.3,Education agency way own sometimes.,Supervisor
22,45,152,8.0,Trade want clearly whom use.,Ms. Kaur
23,527,55,7.6,Mother them go magazine.,Dr. Rao
24,72,48,7.9,Group rock reach.,Ms. Kaur
25,359,49,7.6,Term investment continue politics factor forget under.,Dr. Rao
26,692,146,6.7,Evening movement turn arrive available join be.,Dr. Rao
27,94,10,6.0,Leg similar billion four new language get.,Team Lead
28,637,78,7.3,At American doctor everybody hit.,Ms. Kaur
29,255,74,9.0,Place skill many country democratic available trouble.,Team Lead
30,249,143,9.1,By yard hair each.,Dr. Rao
31,77,9,6.3,Recently and develop necessary development great.,Mentor
32,104,150,7.8,All him civil piece and.,Mentor
33,41,52,5.0,Summer impact half hard again generation attorney agent.,Team Lead
34,632,124,9.7,Analysis name individual memory rich.,Ms. Kaur
