project_id,title,description,tech_stack,start_date,end_date,owner_id
1,Project 1,Sort occur sound cultural case happen.,"Python,Postgres",2024-06-04,2025-03-31,595
2,Project 2,Seat machine than painting whether.,"Node.js,React,Postgres",2024-11-20,2025-08-02,694
3,Project 3,Your often total president.,"Python,Postgres",2024-05-03,2024-12-25,268
4,Project 4,Data use strong.,"Java,Spring,MySQL",2024-07-02,2025-09-07,159
5,Project 5,Of push each could phone.,"Python,PyTorch",2023-12-29,2025-05-26,356
6,Project 6,State ahead term team participant.,"Node.js,React,Postgres",2024-10-07,2025-01-11,606
7,Project 7,Too little size how government new figure.,"Java,Spring,MySQL",2024-10-03,2025-10-01,524
8,Project 8,Contain woman seek.,"Node.js,React,Postgres",2024-06-09,2025-07-26,367
9,Project 9,Idea amount sure partner street contain.,"Node.js,React,Postgres",2024-02-03,2024-12-03,235
10,Project 10,Catch hotel benefit friend realize lead however my.,"Python,TensorFlow",2024-02-14,2025-02-06,76
11,Project 11,My former exactly sister prevent lawyer possible.,"Python,Postgres",2024-01-11,2025-08-16,477
12,Project 12,Benefit deep cultural job friend choose.,"Java,Spring,MySQL",2024-02-11,2025-09-28,548
13,Project 13,With us through teach.,"Python,TensorFlow",2024-06-06,2025-05-26,646
14,Project 14,Nothing politics either image two its.,"Node.js,React,Postgres",2024-02-07,2025-05-17,604
15,Project 15,Boy size meeting.,"Java,Spring,MySQL",2023-12-30,2025-07-26,540
16,Project 16,Space picture process analysis still religious.,"Node.js,React,Postgres",2024-08-09,2025-11-02,110
17,Project 17,Country try shoulder common relate until.,"Python,TensorFlow",2024-07-16,2025-01-30,232
18,Project 18,Tax step treat doctor training write.,"Python,TensorFlow",2024-01-23,2025-05-28,372
19,Project 19,Thank good picture say expect station.,"Python,TensorFlow",2024-10-14,2025-04-13,70
20,Project 20,Ground fear check wife face while.,"Go,Postgres",2024-08-16,2025-01-14,436
21,Project 21,Unit I class policy.,"Node.js,React,Postgres",2024-03-12,2025-07-31,467
22,Project 22,Make kind buy bit.,"Python,TensorFlow",2024-04-04,2025-08-14,554
23,Project 23,Together save Mr school.,"Python,PyTorch",2024-10-12,2025-07-06,687
24,Project 24,During recognize TV together.,"Python,TensorFlow",2024-09-15,2025-10-03,558
25,Project 25,Job generation thought and someone.,"Python,PyTorch",2024-09-26,2025-08-06,611
26,Project 26,Nothing relationship hold sure mission.,"Node.js,React,Postgres",2024-01-05,2025-11-02,454
27,Project 27,Individual industry rich technology campaign mother take person.,"Python,TensorFlow",2024-02-01,2025-07-25,84
28,Project 28,Magazine real near leader house its election.,"Node.js,React,Postgres",2024-05-13,2025-09-07,650
29,Project 29,Her ask society whole pick.,"Python,TensorFlow",2023-12-15,2025-09-26,570
30,Project 30,Morning finally every where.,"Node.js,React,Postgres",2024-06-24,2025-02-21,304
31,Project 31,Last half let soon.,"Node.js,React,Postgres",2024-06-04,2025-03-01,134
32,Project 32,Item up free respond listen.,"Go,Postgres",2024-04-13,2025-03-26,499
33,Project 33,Vote arm especially guess deal director reach.,"Python,PyTorch",2023-12-10,2024-12-29,626
34,Project 34,Network citizen become forget.,"Node.js,React,Postgres",2024-10-07,2025-05-05,649
35,Project 35,Site develop upon page view conference push.,"Go,Postgres",2024-07-30,2024-12-03,104
36,Project 36,Travel white door law.,"Node.js,React,Postgres",2024-09-20,2025-06-30,592
37,Project 37,Green very international song tonight.,"Python,Postgres",2024-06-29,2025-10-23,505
38,Project 38,Paper head role strong.,"Python,TensorFlow",2024-07-01,2025-08-22,193
39,Project 39,Practice sound arm analysis forget.,"Java,Spring,MySQL",2024-03-23,2025-09-22,236
40,Project 40,Region tough kitchen population soon.,"Python,Postgres",2024-10-11,2025-08-25,557
41,Project 41,Product participant school personal step from myself tend.,"Python,Postgres",2024-09-09,2025-10-01,696
42,Project 42,Scene this indeed.,"Node.js,React,Postgres",2024-11-12,2025-05-30,217
43,Project 43,Mention six challenge keep few Mr answer.,"Python,TensorFlow",2023-12-12,2025-06-17,13
44,Project 44,Fall likely believe far from.,"Python,Postgres",2024-04-25,2025-05-27,545
45,Project 45,Team several more these medical.,"Java,Spring,MySQL",2024-04-04,2025-06-22,135
46,Project 46,Crime ten finally prevent.,"Go,Postgres",2024-02-12,2025-04-02,644
47,Project 47,Last cup why finally.,"Python,Postgres",2024-10-29,2025-10-09,208
48,Project 48,Security growth contain their war maybe.,"Python,PyTorch",2024-10-12,2025-01-14,317
49,Project 49,Section appear fish hundred firm imagine.,"Python,Postgres",2024-05-05,2025-02-09,640
50,Project 50,Program idea stock.,"Python,PyTorch",2024-10-12,2025-03-05,134
51,Project 51,Discuss lot remain what over.,"Python,TensorFlow",2024-05-24,2025-04-05,158
52,Project 52,Ok cultural which movie statement.,"Python,PyTorch",2024-07-07,2025-06-18,222
53,Project 53,Good few movement poor painting sound join could.,"Java,Spring,MySQL",2024-08-07,2024-12-01,246
54,Project 54,Identify industry go hotel raise other.,"Python,PyTorch",2024-10-08,2025-09-21,512
55,Project 55,Quite community yeah brother wall camera range.,"Python,Postgres",2024-11-22,2025-08-10,234
56,Project 56,Wide say society trip.,"Python,PyTorch",2024-05-30,2025-02-23,338
57,Project 57,If skin method pretty voice perform.,"Python,PyTorch",2024-01-31,2025-03-11,37
58,Project 58,Young provide hard mouth.,"Go,Postgres",2024-05-12,2025-04-14,359
59,Project 59,Right age accept mission.,"Node.js,React,Postgres",2024-01-13,2025-01-17,115
60,Project 60,Ability within whatever involve science hair test sister.,"Go,Postgres",2024-02-27,2025-06-27,383
61,Project 61,Various good plant beyond staff hotel big.,"Node.js,React,Postgres",2024-07-05,2025-07-29,413
62,Project 62,Partner story glass meet month.,"Python,PyTorch",2024-06-26,2025-09-27,619
63,Project 63,Dark why or agency size.,"Python,PyTorch",2024-09-28,2025-02-15,13
64,Project 64,World simply relate watch serve heart senior.,"Node.js,React,Postgres",2024-10-30,2025-06-10,333
65,Project 65,Whole history type chair more yeah.,"Python,Postgres",2024-06-15,2025-05-07,223
66,Project 66,Perform structure blue training peace provide back community.,"Python,Postgres",2024-05-21,2025-06-21,282
67,Project 67,Environment ten small single.,"Python,TensorFlow",2024-07-27,2025-10-18,443
68,Project 68,Build Democrat stage later police.,"Node.js,React,Postgres",2024-07-31,2025-05-05,605
69,Project 69,Government rate race once.,"Go,Postgres",2024-08-17,2024-12-23,351
70,Project 70,Cultural media analysis husband catch.,"Node.js,React,Postgres",2024-09-22,2025-10-04,332
71,Project 71,Or project very claim reduce thousand house moment.,"Node.js,React,Postgres",2024-04-27,2025-06-12,396
72,Project 72,Look build ten try kid investment.,"Python,PyTorch",2024-06-16,2025-02-03,143
73,Project 73,Material under social ago.,"Node.js,React,Postgres",2024-04-19,2025-02-28,258
74,Project 74,Us son number suggest kind than.,"Java,Spring,MySQL",2024-03-17,2025-10-23,281
75,Project 75,Student movie seat growth.,"Python,PyTorch",2024-07-10,2024-12-24,215
76,Project 76,Figure use draw generation author quickly policy tend.,"Python,Postgres",2024-11-12,2025-09-19,595
77,Project 77,Management analysis community seek.,"Python,Postgres",2023-12-30,2025-01-13,451
